,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
37,GHC-compUid,GHC,compUid,24366,67038,10,0.4574468085106383,0.706076867843241,0.5752528256989887,0.7573105161103639,0.9163934426229509,0.8938842238240321,89306.75874298904,1.3321811322382684,3.665220337478004,0.16143707647882868,,1012615.3910508147,,,,1
38,GHC-sbertbase,GHC,sbertbase,24366,67038,10,0.525172754195459,0.7350912359064639,0.45904486251808974,0.6896869736521563,0.9014344262295082,0.8611131752991008,90161.2490239997,1.3449274892449015,3.700289297545748,0.16982383606611332,,1026812.2429279974,,,,1
39,GHC-uid,GHC,uid,24366,67038,10,0.5084427767354596,0.7240856625798301,0.5896355070666996,0.7586523761459978,0.8926229508196721,0.87701567957197,90155.09332590018,1.344835665233154,3.700036662804735,0.16886317763655614,,1026244.7356179955,,,,1
40,GHC-comp,GHC,comp,24366,74127,12,0.5284738041002277,0.7409313402397109,0.4264795607077486,0.6777386095705824,0.9151639344262295,0.8736389299637048,100521.25759820027,1.3560680669418737,4.125472280973499,0.16585124973760912,,1140742.8885269999,,,,1
41,GHC-compUid,GHC,compUid,24366,74127,12,0.5022222222222222,0.7258289440682217,0.5742311770943795,0.7562119555422636,0.9081967213114754,0.8920553837881435,101654.01357320006,1.3713493541246788,4.171961486218504,0.16553985554656186,,1152016.4180680006,,,,1
42,GHC-sbertbase,GHC,sbertbase,24366,74127,12,0.5167381974248927,0.7256174989451398,0.47104061523672197,0.6925236285794862,0.8846311475409836,0.8520634493883587,93331.2577704899,1.2590723726913258,3.830388975231466,0.15929666699803852,,1063271.501513198,,,,1
43,GHC-uid,GHC,uid,24366,74127,12,0.5084306095979247,0.7331339831836547,0.5807550383196141,0.7622259543368741,0.9223360655737705,0.9007259040193575,98525.74299790012,1.329147854329733,4.043574776241488,0.16646782599592805,,1121121.3168760024,,,,1
44,GHC-comp,GHC,comp,27665,80972,14,0.5474974463738509,0.7517897661134645,0.41878098571011957,0.6749964018047716,0.9199349358395084,0.8769829022899821,101490.24163909999,1.253399219966161,3.6685429835206933,0.16589658479103422,,1162640.5279479949,,,,1
45,GHC-compUid,GHC,compUid,27665,80972,14,0.5183486238532109,0.7385739587776943,0.5760171306209849,0.7603800158093412,0.9240918127598048,0.9022282575149682,106645.74413489974,1.3170694083744965,3.854897673410437,0.16065272122462418,,1210096.894147999,,,,1
46,GHC-sbertbase,GHC,sbertbase,27665,80972,14,0.524031007751938,0.7306120668874256,0.4573268921095008,0.686621029373232,0.8890294596060003,0.8543917042157891,101046.68630239903,1.2479213345650229,3.652509897068463,0.16025189578990745,,1153324.2665129947,,,,1
47,GHC-uid,GHC,uid,27665,80972,14,0.5608170844939647,0.7567324985989696,0.5924408014571948,0.7642675267550165,0.9145129224652088,0.8895129930251219,106763.58363609998,1.3185247201020103,3.8591571890872935,0.1626811658289319,,1212997.2090460015,,,,1
48,GHC-comp,GHC,comp,27665,85699,16,0.5353901996370236,0.7420026068438028,0.4357569721115538,0.6804758715040801,0.9074643050786192,0.8679025300221522,112417.05989280017,1.3117662970723132,4.063512014921387,0.16563230028004966,,1280357.2906610006,,,,1
49,GHC-compUid,GHC,compUid,27665,85699,16,0.563323201621074,0.7602805114167479,0.5833134114272053,0.7627272451326896,0.9221037411892282,0.8983910458202169,112512.60414529825,1.3128811788387058,4.066965629687267,0.16240041364203714,,1278246.8898170628,,,,1
50,GHC-sbertbase,GHC,sbertbase,27665,85699,16,0.5469125902165197,0.7446855445226606,0.45785826067516205,0.6882889426385699,0.8978854147840232,0.8586335548560102,113431.56110189992,1.323604255614417,4.100182942414601,0.1602622291461949,,1283522.1161169973,,,,1
51,GHC-uid,GHC,uid,27665,85699,16,0.5581395348837208,0.7542406560626888,0.591304347826087,0.7630937986215893,0.910717513103199,0.8876646846216626,112619.10158750834,1.3141238706111895,4.070815166727213,0.1572636632598156,,1274739.0404801117,,,,1
52,GHC-comp,GHC,comp,27665,86529,18,0.5505925250683684,0.7505696099110525,0.44428080510554735,0.6850694043866747,0.9108982468823423,0.8691707598959838,105089.63192519985,1.214501865561833,3.798649265324412,0.15024808458898056,,1194252.441309998,,,,1
53,GHC-compUid,GHC,compUid,27665,86529,18,0.5576519916142556,0.7579596983387733,0.5934471619750807,0.7676246247185485,0.9237303452015182,0.8981797168448425,114133.50307719976,1.3190202484392488,4.125555867601654,0.16309882986397603,,1296555.797551997,,,,1
54,GHC-sbertbase,GHC,sbertbase,27665,86529,18,0.542279411764706,0.7461848051006332,0.43581498886965125,0.6805960147344952,0.9099945779866258,0.868188384859867,108292.36528950134,1.2515152756821566,3.914417686228134,0.15404069689006517,,1229717.266989028,,,,1
55,GHC-uid,GHC,uid,27665,86529,18,0.5534188034188033,0.7560776149374372,0.5908127208480566,0.766804351532212,0.9244532803180915,0.8996243860156025,113649.0681597001,1.3134217217314437,4.108045116923915,0.16075348744929757,,1287471.6430140035,,,,1
56,GHC-comp,GHC,comp,24360,50693,6,0.4472243940578577,0.6819209598547338,0.4243584833397166,0.6701372836279003,0.8550932568149211,0.8532656448306161,63354.16163690024,1.2497615378237674,2.60074555159689,0.1876919196457091,,738286.7275140014,,,,2
57,GHC-compUid,GHC,compUid,24360,50693,6,0.6446601941747572,0.7889074744160038,0.630734680782804,0.7822335963646878,0.8874769419963107,0.8876305769794006,66455.43234349898,1.3109390318880116,2.7280555149219614,0.18556456553571055,,768229.5431720122,,,,2
58,GHC-sbertbase,GHC,sbertbase,24360,50693,6,0.4593155893536122,0.6875519081435832,0.4257682339874121,0.6692799561840349,0.8542734166837467,0.8485795177194181,63546.957403000306,1.2535647407531672,2.6086599919129845,0.18179165637464592,,736940.6943140021,,,,2
59,GHC-uid,GHC,uid,24360,50693,6,0.6229508196721311,0.773194063516253,0.6134051466187912,0.7690217520308142,0.8727198196351711,0.8738650785902567,65982.1982352878,1.3016037369121536,2.708628827392767,0.18406960192520014,,762616.9522869168,,,,2
60,GHC-comp,GHC,comp,24366,59270,8,0.4578111946532999,0.6910099999892683,0.42822214460356267,0.6751849297231919,0.8670081967213115,0.862955211385517,75525.97415450019,1.2742698524464349,3.099645988447024,0.1771695115825861,,870874.4186130007,,,,2
61,GHC-compUid,GHC,compUid,24366,59270,8,0.6412103746397695,0.7908631901865832,0.595200997195388,0.7661948605724535,0.8979508196721312,0.8912515696944329,76581.20836000015,1.292073702716385,3.142953638676851,0.1632335581423982,,872612.088093001,,,,2
62,GHC-sbertbase,GHC,sbertbase,24366,59270,8,0.48470948012232423,0.7024825204681664,0.45292620865139943,0.685009330104163,0.8618852459016394,0.8560066973629133,79027.6031649004,1.333349133877179,3.243355625252417,0.1704170654327632,,900666.8247920026,,,,2
